"","subject","flnm","time_stamp","eye","point","offset_deg","diff"
"1721",30,"C:/Data/WebEye/38.asc",1293858,"RIGHT",7,0.08,0
"1821",30,"C:/Data/WebEye/38.asc",1293858,"RIGHT",8,0.7,0
"1916",30,"C:/Data/WebEye/38.asc",1423940,"RIGHT",0,0.58,130082
"2016",30,"C:/Data/WebEye/38.asc",1423940,"RIGHT",1,0.57,0
"2120",30,"C:/Data/WebEye/38.asc",1423940,"RIGHT",2,0.59,0
"2217",30,"C:/Data/WebEye/38.asc",1423940,"RIGHT",3,0.36,0
"2316",30,"C:/Data/WebEye/38.asc",1423940,"RIGHT",4,0.25,0
"2417",30,"C:/Data/WebEye/38.asc",1423940,"RIGHT",5,0.74,0
"2517",30,"C:/Data/WebEye/38.asc",1423940,"RIGHT",6,0.68,0
"2617",30,"C:/Data/WebEye/38.asc",1423940,"RIGHT",7,0.1,0
"2717",30,"C:/Data/WebEye/38.asc",1423940,"RIGHT",8,0.4,0
"2819",30,"C:/Data/WebEye/38.asc",1550340,"RIGHT",0,0.5,126400
"2919",30,"C:/Data/WebEye/38.asc",1550340,"RIGHT",1,0.82,0
"3019",30,"C:/Data/WebEye/38.asc",1550340,"RIGHT",2,0.67,0
"3123",30,"C:/Data/WebEye/38.asc",1550340,"RIGHT",3,0.51,0
"3220",30,"C:/Data/WebEye/38.asc",1550340,"RIGHT",4,0.43,0
"3319",30,"C:/Data/WebEye/38.asc",1550340,"RIGHT",5,0.15,0
"3420",30,"C:/Data/WebEye/38.asc",1550340,"RIGHT",6,0.8,0
"3520",30,"C:/Data/WebEye/38.asc",1550340,"RIGHT",7,0.91,0
"3620",30,"C:/Data/WebEye/38.asc",1550340,"RIGHT",8,0.44,0
"4624",30,"C:/Data/WebEye/38.asc",1753325,"RIGHT",0,0.45,22508
"4724",30,"C:/Data/WebEye/38.asc",1753325,"RIGHT",1,0.41,0
"4824",30,"C:/Data/WebEye/38.asc",1753325,"RIGHT",2,0.69,0
"4924",30,"C:/Data/WebEye/38.asc",1753325,"RIGHT",3,0.5,0
"5024",30,"C:/Data/WebEye/38.asc",1753325,"RIGHT",4,0.16,0
"5127",30,"C:/Data/WebEye/38.asc",1753325,"RIGHT",5,0.66,0
