method,smoothing,parameter,RMSE_n_saccades,RMSE_mean_sacc_dur,RMSE_sd_sacc_dur,mean_error_n_saccades,mean_error_mean_sacc_dur,mean_error_sd_sacc_dur
IDT,raw,disp_1.5,5.5612214904658694,163.5915326732196,97.38931375258223,2.6456310679611637,38.89524893524731,36.43295090774226
IDT,raw,disp_2.5,5.918540885521721,154.4234810020082,86.74718796833021,3.174757281553394,3.718824686876589,8.937606941750982
IDT,raw,disp_2,6.401228644201035,156.1265410445596,83.34270310852276,3.6747572815533935,13.809328188168978,17.53615949976814
IDT,sg,disp_6.5,3.4794821621190803,157.09255001306022,122.80538342990671,-1.7184466019417477,-10.031541954731598,-0.16559586480121277
IDT,sg,disp_6,3.5423923680643292,156.60233847423137,106.46808220593756,-1.3932038834951446,-11.76157978306422,-3.541609558432337
IDT,sg,disp_5.5,3.560162535833636,152.04151832434854,69.08071244775161,-1.043689320388347,-17.52538121652963,-16.07889978980314
IDT,sg,disp_5,3.5825900485976154,152.60887103264804,71.08949031661281,-0.6019417475728152,-16.690652218273907,-15.573764035995495
IDT,sg,disp_7,3.58665271108075,156.60841984327251,94.97039942810166,-2.1747572815533975,-13.154572915530697,-6.991743131270469
IDT,sg,disp_7.5,3.676876048458551,164.80862287279592,135.1400246851007,-2.422330097087376,-12.768123916803448,-4.682749879612963
IDT,sg,disp_4.5,3.7983133712240518,31.8179361027382,69.64810701626179,-0.07766990291262417,-5.370119488976555,-14.413816833820752
IDT,sg,disp_4,3.969544250086911,155.4590767264064,83.69432580058321,0.6699029126213639,-13.699927817778219,-10.062971348765982
IDT,sg,disp_8,4.073952304414076,156.2574389022657,79.3885618825916,-2.9368932038834923,-16.90278999105698,-10.174305323004983
IDT,sg,disp_3.5,4.161193816752895,155.45417271586155,100.61088395254596,1.286407766990289,-9.145100215750189,-0.928074735133386
IDT,sg,disp_3,4.227165958279254,151.94301886031255,93.49841552717028,1.8203883495145663,-4.627087570969838,5.047731173228246
IDT,sg,disp_2.5,4.825599213257385,153.09956775842036,97.11700266026462,2.4417475728155376,1.6687320301011679,12.074008702554416
